            Australian Bureau of Statistics,,,,,,,,,,
"Census of Population and Housing: Cultural diversity data summary, 2021",,,,,,,,,,
Released at 10:00am (Canberra time) 28 June 2022,,,,,,,,,Contents,
,,,,,,,,,Find out more:,
TABLE 3. COUNTRY OF BIRTH OF PERSON BY YEAR OF ARRIVAL IN AUSTRALIA BY STATE AND TERRITORY,,,,,,,,,Country of birth of person,
Count of persons(a),,,,,,,,,Year of arrival in Australia,
,,,,,,,,,State and Territories,
,,,,,,,,,,
,,,,,,,,Australian,,
,New,,,South ,Western ,,Northern ,Capital ,,
,South Wales,Victoria,Queensland,Australia,Australia,Tasmania,Territory,Territory,Total(b),
,ARRIVED 2016-2021(c),,,,,,,,,
,,,,,,,,,,
New Zealand,"10,855","14,105","18,422",978,"5,920",301,440,460,"51,518",
Melanesia,717,407,"2,815",378,433,51,141,40,"4,986",
Micronesia,57,45,181,35,12,22,0,3,353,
Polynesia (excludes Hawaii),"6,507","3,905","3,695",288,501,186,163,206,"15,455",
Antarctica,0,0,0,0,0,0,0,0,0,
"United Kingdom, Channel Islands and Isle of Man","22,549","14,407","14,920","3,526","10,248",690,663,811,"67,822",
Ireland,"4,660","2,831","1,144",191,"1,724",44,152,56,"10,809",
Western Europe,"7,903","4,942","4,499",951,"2,801",280,306,448,"22,140",
Northern Europe,"1,517",880,973,164,434,56,17,76,"4,122",
Southern Europe,"4,877","2,996","2,576",576,"1,518",112,158,151,"12,959",
South Eastern Europe,"2,556","2,994","1,022",508,700,50,83,124,"8,035",
Eastern Europe,"5,077","2,603","2,628",737,"1,389",116,108,174,"12,846",
North Africa,"3,203","2,369","1,204",666,724,150,52,231,"8,591",
Middle East,"42,419","27,077","8,578","4,048","3,877",557,183,"1,094","87,831",
Mainland South-East Asia,"23,077","25,494","9,370","5,146","6,357",963,777,"1,158","72,347",
Maritime South-East Asia,"40,691","42,074","18,208","7,651","17,972","1,545","2,298","2,392","132,865",
Chinese Asia (includes Mongolia),"62,108","54,548","25,411","10,931","9,351","3,866",916,"4,450","171,577",
Japan and the Koreas,"9,996","4,972","7,118","1,150","2,270",301,135,540,"26,480",
Southern Asia,"136,883","130,320","35,360","29,129","26,828","8,225","5,046","11,896","383,691",
Central Asia,"3,074","6,696","1,387","2,224","1,338",146,11,167,"15,035",
Northern America,"11,051","7,547","6,666","1,439","2,991",429,635,"1,000","31,772",
South America,"22,363","11,947","13,880","2,718","4,354",623,302,635,"56,830",
Central America,"1,159",912,624,202,226,46,20,163,"3,349",
Caribbean,223,152,199,54,102,12,5,17,762,
Central and West Africa,"3,124","2,276","2,757","1,039","1,042",298,310,355,"11,200",
Southern and East Africa,"11,399","11,122","12,451","3,905","9,908",777,612,665,"50,832",
Inadequately described,408,344,259,87,151,21,18,24,"1,312",
At sea,0,0,0,0,0,0,0,0,0,
Not stated,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,
Total(d),"438,483","377,980","196,341","78,728","113,151","19,871","13,537","27,340","1,265,544",
,,,,,,,,,,
,ARRIVED PRIOR TO 2016,,,,,,,,,
,,,,,,,,,,
New Zealand,"103,374","82,305","183,476","11,998","67,176","4,964","3,428","4,514","461,492",
Melanesia,"6,392","2,847","16,623","1,002","1,879",354,582,712,"30,412",
Micronesia,207,320,426,31,53,14,29,19,"1,104",
Polynesia (excludes Hawaii),"49,251","20,052","24,209","1,408","2,423",344,550,"1,461","99,715",
Antarctica,0,0,0,0,3,0,0,0,7,
