            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Census of Population and Housing: Cultural diversity data summary, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 10:00am (Canberra time) 28 June 2022,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Find out more:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE 8. RELIGIOUS AFFILIATION BY STATE AND TERRITORY,,,,,,,,,Religious affiliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of persons(a),,,,,,,,,Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,State and Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Australian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New,,,South ,Western,,Northern , Capital ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Wales,Victoria,Queensland,Australia, Australia,Tasmania,Territory,Territory,Total(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddhism,"222,770","204,493","73,697","33,788","57,622","5,605","4,883","12,696","615,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christianity:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christianity, nfd","193,728","165,634","159,948","47,112","89,919","13,986","7,395","10,642","688,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglican,"960,305","425,007","581,373","127,970","269,583","80,380","13,930","37,141","2,496,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baptist,"93,624","82,044","86,876","26,226","42,600","6,518","5,490","3,911","347,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brethren,"7,150","4,162","3,070",783,"1,839","1,210",7,39,"18,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catholic,"1,807,730","1,335,784","961,469","275,849","496,847","71,045","39,208","87,566","5,075,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Churches of Christ,"5,452","10,302","7,902","3,826","7,245",786,184,236,"35,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jehovah's Witnesses,"23,388","15,515","24,840","6,033","11,136","2,220",507,750,"84,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latter-day Saints,"14,893","11,457","20,192","2,794","5,951","1,340",549,696,"57,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutheran,"17,185","23,101","47,515","43,305","6,315","1,099","5,350","1,999","145,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental Orthodox,"30,798","19,067","4,228","2,002","3,327",287,203,862,"60,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assyrian Apostolic,"15,259","3,719",94,10,40,4,0,10,"19,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Orthodox,"202,018","216,791","35,371","42,689","25,006","2,409","4,400","6,778","535,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbyterian and Reformed,"153,481","88,797","108,664","13,041","34,549","8,240","1,831","6,243","414,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvation Army,"11,080","7,517","8,989","2,930","3,035","1,077",206,512,"35,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seventh-day Adventist,"22,729","10,923","17,268","2,952","7,036","1,154",814,752,"63,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniting Church,"172,132","156,166","186,373","84,797","42,526","14,447","8,636","8,005","673,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentecostal,"71,624","54,490","69,900","20,248","27,463","4,804","3,062","4,219","255,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Protestant,"35,586","22,934","24,387","6,357","16,220","2,259","2,199","2,532","112,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Christian,"6,284","4,345","8,944","3,903","3,029",683,175,323,"27,679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"3,844,453","2,657,748","2,357,398","712,815","1,093,666","213,933","94,142","173,227","11,148,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinduism,"273,780","214,058","69,520","38,105","52,055","9,724","6,236","20,505","684,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islam,"349,240","273,028","60,381","40,302","66,764","4,947","3,351","14,613","813,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judaism,"40,249","46,645","4,815","1,145","5,669",376,163,886,"99,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Religions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Aboriginal Traditional Religions,"1,422",389,979,447,"1,096",47,"3,437",54,"7,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baha'i,"4,686","3,335","2,531","1,520","2,373",177,83,228,"14,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Religions,"2,165","1,897","1,495",326,640,150,140,131,"6,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Druse,"1,346","1,301",286,"1,259",77,0,0,11,"4,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Religions,549,404,440,92,199,44,21,108,"1,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature Religions,"8,565","7,583","8,705","2,719","3,556","1,109",285,628,"33,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikhism,"47,165","91,745","27,713","17,259","18,583","2,208","1,401","4,323","210,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiritualism,"2,386","1,851","2,384",678,"1,251",129,42,157,"8,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous Religions,"18,923","6,797","5,906","1,762","2,562",548,152,426,"37,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"87,200","115,311","50,437","26,060","30,338","4,413","5,563","6,068","325,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation, nfd",59,66,28,10,18,5,0,7,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No Religion, so described","2,644,165","2,523,448","2,099,765","806,165","1,130,094","276,330","88,555","197,622","9,767,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secular Beliefs,"22,164","18,994","15,022","5,490","7,387","1,722",515,"2,240","73,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Spiritual Beliefs,"13,392","11,213","10,646","3,609","4,721",938,429,824,"45,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"2,679,783","2,553,723","2,125,462","815,275","1,142,220","278,999","89,499","200,696","9,886,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inadequately described,"26,348","25,610","21,724","6,835","11,474","2,119","1,142","2,105","97,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not stated,"548,340","412,883","392,694","107,189","200,210","37,450","27,631","23,697","1,751,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
