locality,suburb_name,quality_of_life,safety_day,safety_night
MELBOURNE,Melbourne CBD,70.7,81.3,54.4
EAST MELBOURNE,East Melbourne,82.6,91.7,76.5
SOUTHBANK,Southbank,75.0,92.6,63.4
DOCKLANDS,Docklands,74.6,90.0,64.6
KENSINGTON,Kensington,76.1,92.9,68.4
NORTH MELBOURNE,North Melbourne,67.7,86.8,46.5
PARKVILLE,Parkville,71.3,87.5,59.7
CARLTON,Carlton,71.4,80.2,60.0
SOUTH YARRA,South Yarra,75.2,93.5,64.9
FLEMINGTON,Flemington,76.1,92.9,68.4
WEST MELBOURNE,West Melbourne,67.7,86.8,46.5
SOUTH WHARF,South Wharf,75.0,92.6,63.4
